
Set Pivot(right most):
Size (n) , Time(Nanoseconds)
1000 , 176747.11
1100 , 127617.5
1200 , 154649.51
1300 , 174555.06
1400 , 200640.93
1500 , 229290.94
1600 , 259990.64
1700 , 297761.82
1800 , 326805.05
1900 , 480974.55
2000 , 402230.14
2100 , 441514.2
2200 , 489066.15
2300 , 527681.42
2400 , 579320.64
2500 , 627024.79
2600 , 671968.3
2700 , 728521.9
2800 , 782813.25
2900 , 836411.54
3000 , 891919.69
3100 , 951699.3
3200 , 1014944.51
3300 , 1082802.21
3400 , 1143189.18
3500 , 1306569.35
3600 , 1279392.97
3700 , 1355734.09
3800 , 1422125.26
3900 , 1498496.53
4000 , 1577750.19
4100 , 1657464.5
4200 , 1732465.93
4300 , 1820665.1
4400 , 2074825.56
4500 , 1990381.05
4600 , 2076667.89
4700 , 2169124.49
4800 , 2265148.62
4900 , 2355424.14
5000 , 2454767.83
5100 , 2546526.08
5200 , 2653947.98
5300 , 2747876.53
5400 , 2854862.39
5500 , 2961163.19
5600 , 3068332.72
5700 , 3176916.19
5800 , 3281968.46
5900 , 3386454.2
6000 , 3501190.21
6100 , 3616494.41
6200 , 3737131.26
6300 , 3856472.92
6400 , 3979412.33
6500 , 4103362.32
6600 , 4230582.29
6700 , 4358502.19
6800 , 4490341.59
6900 , 4620854.69
7000 , 4751701.08
7100 , 6146770.52
7200 , 5057448.03
7300 , 5171622.64
7400 , 5310177.89
7500 , 5455422.93
7600 , 5598434.34
7700 , 5749993.01
7800 , 5898313.21
7900 , 6266964.77
8000 , 6203846.27
8100 , 6357164.19
8200 , 6826601.71
8300 , 6677199.61
8400 , 6838139.04
8500 , 7006305.66
8600 , 7167479.5
8700 , 7335185.37
8800 , 7507938.72
8900 , 7680690.69
9000 , 7854359.7
9100 , 8026124.43
9200 , 8199445.18
9300 , 8388341.43
9400 , 8564563.6
9500 , 8759404.45
9600 , 9074410.02
9700 , 9118769.96
9800 , 9310711.98
9900 , 9501081.58
10000 , 9697325.92
